cust_id,cust_firstname,cust_lastname
2,Amelia,"Scott"
4,Mia,"Mitchell"
10,Benjamin,"Allen"
33,David,"Adams"
43,Aria,"Rivers"
59,David,"Roberts"
71,Augusta,"Ashley"
73,David,"Turner"
76,James,"Patel"
88,Sebastian,"Young"
97,Amelia,"Mitchell"
100,Olivia,"Roberts"
105,Charlotte,"Scott"
111,Benjamin,"Baker"
115,Olivia,"Baker"
137,Sophia,"Rivers"
155,Benjamin,"Campbell"
157,Elijah,"Allen"
183,Janice,"Green"
189,Benjamin,"Patel"
197,Khalid,"Kaur"
215,Ella,"Rodriguez"
216,Alex,"Sanders"
219,Abigail,"Allen"
220,James,"Baker"
225,Kassidy,"Hernandez"
231,Sebastian,"Sanders"
245,Ava,"Sanders"
247,Noah,"Moffitt"
251,Armani,"Moffitt"
255,Ella,"Hill"
267,Alex,"King"
272,Armani,"Rodriguez"
286,Evelyn,"Smith"
287,Krystal,"Brown"
292,Mia,"Young"
293,James,"Sanders"
304,Liam,"Patel"
313,Charlotte,"Green"
314,Ava,"Wilson"
344,Matthew,"Martinez"
346,Ella,"Rodriguez"
347,Maria,"Smith"
354,Maria,"Yu"
356,Scarlett,"Hill"
360,Khalid,"Green"
390,Emma,"Wilson"
392,Aria,"Hernandez"
409,Jared,"Anderson"
411,William,"Hunt"
413,Alex,"Ashley"
425,Lucas,"Rivers"
430,Matthew,"Phillips"
474,Alex,"Davis"
477,Emma,"Carter"
498,Benjamin,"Carter"
501,Robert,"Young"
518,Ella,"Hunt"
522,Abigail,"Lopez"
541,Amelia,"Sanders"
547,James,"Brooks"
550,Sophia,"Roberts"
559,Ava,"Shepherd"
562,Amelia,"Mitchell"
567,Noah,"Rodriguez"
575,Makenzie,"Anderson"
607,Leonor,"Young"
642,Lucas,"Yu"
650,James,"Chen"
672,Robert,"Lopez"
675,Sebastian,"Roberts"
678,Alex,"Carter"
688,Armani,"Hunt"
714,Aria,"Moffitt"
717,Maria,"Campbell"
720,James,"King"
725,Armani,"Lopez"
726,Amira,"Phillips"
738,Benjamin,"Roberts"
739,Leonor,"Carter"
755,Olivia,"Hill"
761,Daniel,"Rodriguez"
762,Daniel,"Hunt"
763,Janice,"Hunt"
768,Olivia,"Scott"
772,Harper,"Rodriguez"
773,Evelyn,"Wong"
778,Henry,"Kaur"
788,James,"Allen"
790,Noah,"Yu"
799,Robert,"Lopez"
812,Aria,"Hunt"
828,Khalid,"Smith"
850,Benjamin,"Yu"
862,Krystal,"Moffitt"
864,Jared,"Shepherd"
870,Leonor,"Martinez"
872,Lucas,"Patel"
881,Jared,"Carter"
885,Ethan,"Moffitt"
894,Sebastian,"Lopez"
922,Daniel,"Allen"
925,Ella,"Smith"
927,Kassidy,"Martinez"
942,Alex,"Allen"
949,Lucas,"Kaur"
962,David,"Adams"
963,Daniel,"Allen"
965,Maria,"Green"
981,Robert,"Frank"
992,Aria,"Green"
995,Mia,"Anderson"
1000,Evelyn,Adams
