date,shift_id,staff_id,first_name,last_name,start_time,end_time,hourly_rate,total_hours,wages
2023-02-16,sh0001,st0004,Faraz,Peck,08:00:00,16:00:00,27,8.0000,216.00
2023-02-16,sh0001,st0008,Zachery,Robins,08:00:00,16:00:00,23,8.0000,184.00
2023-02-16,sh0001,st0010,Desiree,Gardner,08:00:00,16:00:00,20,8.0000,160.00
2023-02-16,sh0001,st0011,Ivan,English,08:00:00,16:00:00,20,8.0000,160.00
2023-02-16,sh0001,st0015,Amiyah,Lambert,08:00:00,16:00:00,17,8.0000,136.00
2023-02-16,sh0001,st0017,Nadia,Khan,08:00:00,16:00:00,17,8.0000,136.00
2023-02-16,sh0001,st0021,Liam,Turner,08:00:00,16:00:00,17,8.0000,136.00
2023-02-16,sh0001,st0024,Sophia,Bennett,08:00:00,16:00:00,17,8.0000,136.00
2023-02-16,sh0001,st0025,Ryan,Foster,08:00:00,16:00:00,18,8.0000,144.00
2023-02-16,sh0001,st0027,Lucas,Price,08:00:00,16:00:00,18,8.0000,144.00
2023-02-16,sh0001,st0030,Hannah,Ward,08:00:00,16:00:00,18,8.0000,144.00
2023-02-16,sh0001,st0032,Chloe,Kelly,08:00:00,16:00:00,30,8.0000,240.00
2023-02-16,sh0002,st0003,Sana,Black,16:00:00,00:00:00,27,8.0000,216.00
2023-02-16,sh0002,st0005,Arran,Hodgson,16:00:00,00:00:00,23,8.0000,184.00
2023-02-16,sh0002,st0012,Jonathan,Bradford,16:00:00,00:00:00,20,8.0000,160.00
2023-02-16,sh0002,st0013,Matilda,McCarty,16:00:00,00:00:00,20,8.0000,160.00
2023-02-16,sh0002,st0014,Areeb,Vasquez,16:00:00,00:00:00,17,8.0000,136.00
2023-02-16,sh0002,st0016,Amrit,Greaves,16:00:00,00:00:00,17,8.0000,136.00
2023-02-16,sh0002,st0019,Ethan,Cole,16:00:00,00:00:00,17,8.0000,136.00
2023-02-16,sh0002,st0022,Ava,Brooks,16:00:00,00:00:00,17,8.0000,136.00
2023-02-16,sh0002,st0026,Zoe,Simmons,16:00:00,00:00:00,18,8.0000,144.00
2023-02-16,sh0002,st0028,Maya,Griffin,16:00:00,00:00:00,18,8.0000,144.00
2023-02-16,sh0002,st0029,Jayden,Cruz,16:00:00,00:00:00,18,8.0000,144.00
2023-02-17,sh0003,st0003,Sana,Black,08:00:00,16:00:00,27,8.0000,216.00
2023-02-17,sh0003,st0005,Arran,Hodgson,08:00:00,16:00:00,23,8.0000,184.00
2023-02-17,sh0003,st0009,Lily-Rose,Vaughn,08:00:00,16:00:00,20,8.0000,160.00
2023-02-17,sh0003,st0012,Jonathan,Bradford,08:00:00,16:00:00,20,8.0000,160.00
2023-02-17,sh0003,st0014,Areeb,Vasquez,08:00:00,16:00:00,17,8.0000,136.00
2023-02-17,sh0003,st0017,Nadia,Khan,08:00:00,16:00:00,17,8.0000,136.00
2023-02-17,sh0003,st0021,Liam,Turner,08:00:00,16:00:00,17,8.0000,136.00
2023-02-17,sh0003,st0023,Noah,Hayes,08:00:00,16:00:00,17,8.0000,136.00
2023-02-17,sh0003,st0025,Ryan,Foster,08:00:00,16:00:00,18,8.0000,144.00
2023-02-17,sh0003,st0028,Maya,Griffin,08:00:00,16:00:00,18,8.0000,144.00
2023-02-17,sh0003,st0029,Jayden,Cruz,08:00:00,16:00:00,18,8.0000,144.00
2023-02-17,sh0003,st0031,Daniel,Morris,08:00:00,16:00:00,30,8.0000,240.00
2023-02-17,sh0004,st0001,Mindy,Sloan,16:00:00,00:00:00,27,8.0000,216.00
2023-02-17,sh0004,st0007,Talha,Portillo,16:00:00,00:00:00,23,8.0000,184.00
2023-02-17,sh0004,st0010,Desiree,Gardner,16:00:00,00:00:00,20,8.0000,160.00
2023-02-17,sh0004,st0013,Matilda,McCarty,16:00:00,00:00:00,20,8.0000,160.00
2023-02-17,sh0004,st0015,Amiyah,Lambert,16:00:00,00:00:00,17,8.0000,136.00
2023-02-17,sh0004,st0016,Amrit,Greaves,16:00:00,00:00:00,17,8.0000,136.00
2023-02-17,sh0004,st0019,Ethan,Cole,16:00:00,00:00:00,17,8.0000,136.00
2023-02-17,sh0004,st0024,Sophia,Bennett,16:00:00,00:00:00,17,8.0000,136.00
2023-02-17,sh0004,st0026,Zoe,Simmons,16:00:00,00:00:00,18,8.0000,144.00
2023-02-17,sh0004,st0027,Lucas,Price,16:00:00,00:00:00,18,8.0000,144.00
2023-02-17,sh0004,st0030,Hannah,Ward,16:00:00,00:00:00,18,8.0000,144.00
2023-02-18,sh0005,st0001,Mindy,Sloan,08:00:00,16:00:00,27,8.0000,216.00
2023-02-18,sh0005,st0007,Talha,Portillo,08:00:00,16:00:00,23,8.0000,184.00
2023-02-18,sh0005,st0012,Jonathan,Bradford,08:00:00,16:00:00,20,8.0000,160.00
2023-02-18,sh0005,st0013,Matilda,McCarty,08:00:00,16:00:00,20,8.0000,160.00
2023-02-18,sh0005,st0017,Nadia,Khan,08:00:00,16:00:00,17,8.0000,136.00
2023-02-18,sh0005,st0018,Omar,Sheikh,08:00:00,16:00:00,17,8.0000,136.00
2023-02-18,sh0005,st0023,Noah,Hayes,08:00:00,16:00:00,17,8.0000,136.00
2023-02-18,sh0005,st0024,Sophia,Bennett,08:00:00,16:00:00,17,8.0000,136.00
2023-02-18,sh0005,st0025,Ryan,Foster,08:00:00,16:00:00,18,8.0000,144.00
2023-02-18,sh0005,st0028,Maya,Griffin,08:00:00,16:00:00,18,8.0000,144.00
2023-02-18,sh0005,st0029,Jayden,Cruz,08:00:00,16:00:00,18,8.0000,144.00
2023-02-18,sh0005,st0031,Daniel,Morris,08:00:00,16:00:00,30,8.0000,240.00
2023-02-18,sh0006,st0004,Faraz,Peck,16:00:00,00:00:00,27,8.0000,216.00
2023-02-18,sh0006,st0005,Arran,Hodgson,16:00:00,00:00:00,23,8.0000,184.00
2023-02-18,sh0006,st0010,Desiree,Gardner,16:00:00,00:00:00,20,8.0000,160.00
2023-02-18,sh0006,st0011,Ivan,English,16:00:00,00:00:00,20,8.0000,160.00
2023-02-18,sh0006,st0014,Areeb,Vasquez,16:00:00,00:00:00,17,8.0000,136.00
2023-02-18,sh0006,st0015,Amiyah,Lambert,16:00:00,00:00:00,17,8.0000,136.00
2023-02-18,sh0006,st0019,Ethan,Cole,16:00:00,00:00:00,17,8.0000,136.00
2023-02-18,sh0006,st0020,Olivia,Reed,16:00:00,00:00:00,17,8.0000,136.00
2023-02-18,sh0006,st0026,Zoe,Simmons,16:00:00,00:00:00,18,8.0000,144.00
2023-02-18,sh0006,st0027,Lucas,Price,16:00:00,00:00:00,18,8.0000,144.00
2023-02-18,sh0006,st0030,Hannah,Ward,16:00:00,00:00:00,18,8.0000,144.00
2023-02-18,sh0006,st0033,Isaac,Stone,16:00:00,00:00:00,17,8.0000,136.00
2023-02-19,sh0007,st0002,Luqman,Cantu,08:00:00,16:00:00,27,8.0000,216.00
2023-02-19,sh0007,st0008,Zachery,Robins,08:00:00,16:00:00,23,8.0000,184.00
2023-02-19,sh0007,st0012,Jonathan,Bradford,08:00:00,16:00:00,20,8.0000,160.00
2023-02-19,sh0007,st0013,Matilda,McCarty,08:00:00,16:00:00,20,8.0000,160.00
2023-02-19,sh0007,st0016,Amrit,Greaves,08:00:00,16:00:00,17,8.0000,136.00
2023-02-19,sh0007,st0018,Omar,Sheikh,08:00:00,16:00:00,17,8.0000,136.00
2023-02-19,sh0007,st0020,Olivia,Reed,08:00:00,16:00:00,17,8.0000,136.00
2023-02-19,sh0007,st0023,Noah,Hayes,08:00:00,16:00:00,17,8.0000,136.00
2023-02-19,sh0007,st0031,Daniel,Morris,08:00:00,16:00:00,30,8.0000,240.00
2023-02-19,sh0008,st0001,Mindy,Sloan,16:00:00,00:00:00,27,8.0000,216.00
2023-02-19,sh0008,st0005,Arran,Hodgson,16:00:00,00:00:00,23,8.0000,184.00
2023-02-19,sh0008,st0009,Lily-Rose,Vaughn,16:00:00,00:00:00,20,8.0000,160.00
2023-02-19,sh0008,st0010,Desiree,Gardner,16:00:00,00:00:00,20,8.0000,160.00
2023-02-19,sh0008,st0021,Liam,Turner,16:00:00,00:00:00,17,8.0000,136.00
2023-02-19,sh0008,st0022,Ava,Brooks,16:00:00,00:00:00,17,8.0000,136.00
2023-02-20,sh0009,st0004,Faraz,Peck,08:00:00,16:00:00,27,8.0000,216.00
2023-02-20,sh0009,st0006,Seren,Lindsey,08:00:00,16:00:00,23,8.0000,184.00
2023-02-20,sh0009,st0012,Jonathan,Bradford,08:00:00,16:00:00,20,8.0000,160.00
2023-02-20,sh0009,st0013,Matilda,McCarty,08:00:00,16:00:00,20,8.0000,160.00
2023-02-20,sh0009,st0014,Areeb,Vasquez,08:00:00,16:00:00,17,8.0000,136.00
2023-02-20,sh0009,st0017,Nadia,Khan,08:00:00,16:00:00,17,8.0000,136.00
2023-02-20,sh0009,st0020,Olivia,Reed,08:00:00,16:00:00,17,8.0000,136.00
2023-02-20,sh0009,st0023,Noah,Hayes,08:00:00,16:00:00,17,8.0000,136.00
2023-02-20,sh0009,st0027,Lucas,Price,08:00:00,16:00:00,18,8.0000,144.00
2023-02-20,sh0009,st0028,Maya,Griffin,08:00:00,16:00:00,18,8.0000,144.00
