year_week_id,staff_id,first_name,last_name,weekly_hours,weekly_wages
202307,st0004,Faraz,Peck,16.0000,432.00
202307,st0008,Zachery,Robins,16.0000,368.00
202307,st0010,Desiree,Gardner,32.0000,640.00
202307,st0011,Ivan,English,16.0000,320.00
202307,st0017,Nadia,Khan,24.0000,408.00
202307,st0015,Amiyah,Lambert,24.0000,408.00
202307,st0021,Liam,Turner,24.0000,408.00
202307,st0024,Sophia,Bennett,24.0000,408.00
202307,st0030,Hannah,Ward,24.0000,432.00
202307,st0027,Lucas,Price,24.0000,432.00
202307,st0025,Ryan,Foster,24.0000,432.00
202307,st0032,Chloe,Kelly,8.0000,240.00
202308,st0003,Sana,Black,40.0000,1080.00
202308,st0007,Talha,Portillo,16.0000,368.00
202308,st0012,Jonathan,Bradford,40.0000,800.00
202308,st0010,Desiree,Gardner,40.0000,800.00
202308,st0015,Amiyah,Lambert,24.0000,408.00
202308,st0017,Nadia,Khan,24.0000,408.00
202308,st0024,Sophia,Bennett,24.0000,408.00
202308,st0021,Liam,Turner,24.0000,408.00
202308,st0032,Chloe,Kelly,16.0000,480.00
202309,st0002,Luqman,Cantu,16.0000,432.00
202309,st0005,Arran,Hodgson,24.0000,552.00
202309,st0009,Lily-Rose,Vaughn,40.0000,800.00
202309,st0011,Ivan,English,40.0000,800.00
202309,st0014,Areeb,Vasquez,24.0000,408.00
202309,st0015,Amiyah,Lambert,24.0000,408.00
202309,st0019,Ethan,Cole,24.0000,408.00
202309,st0021,Liam,Turner,24.0000,408.00
202309,st0031,Daniel,Morris,40.0000,1200.00
202310,st0004,Faraz,Peck,32.0000,864.00
202310,st0006,Seren,Lindsey,40.0000,920.00
202310,st0013,Matilda,McCarty,40.0000,800.00
202310,st0011,Ivan,English,40.0000,800.00
202310,st0017,Nadia,Khan,24.0000,408.00
202310,st0018,Omar,Sheikh,24.0000,408.00
202310,st0023,Noah,Hayes,24.0000,408.00
202310,st0020,Olivia,Reed,24.0000,408.00
202310,st0032,Chloe,Kelly,32.0000,960.00
202311,st0004,Faraz,Peck,32.0000,864.00
202311,st0005,Arran,Hodgson,24.0000,552.00
202311,st0012,Jonathan,Bradford,40.0000,800.00
202311,st0013,Matilda,McCarty,40.0000,800.00
202311,st0015,Amiyah,Lambert,24.0000,408.00
202311,st0014,Areeb,Vasquez,24.0000,408.00
202311,st0022,Ava,Brooks,24.0000,408.00
202311,st0020,Olivia,Reed,24.0000,408.00
202311,st0032,Chloe,Kelly,24.0000,720.00
202312,st0001,Mindy,Sloan,24.0000,648.00
202312,st0008,Zachery,Robins,24.0000,552.00
202312,st0012,Jonathan,Bradford,40.0000,800.00
